date,league,season,referee,odds_over25,odds_under25,squad,opponent,venue,goals_for,goals_against,ht_goals_for,ht_goals_against,shots,shots_on_target,corners,fouls,yellow_cards,red_cards,opp_shots,opp_shots_on_target,opp_corners,opp_fouls,odds_win,odds_draw,odds_loss,result,shot_accuracy,shot_conversion,opp_shot_accuracy,shot_dominance,corner_dominance,discipline_index,foul_rate,second_half_goals,clean_sheet,implied_win_prob,implied_draw_prob,implied_loss_prob,over25_implied,match_points,rolling_form_5,rolling_goals_5,rolling_conceded_5
,SPA-La Liga,2015-2016,,,,Betis,Eibar,Away,1,1,1,0,6,3,2,9,3,0,21,10,8,15,,,,D,0.5,0.16666666666666666,0.47619047619047616,0.2222222222222222,0.2,30,9,0,0,0.35359109538829203,,,0.5052356020942408,1,1.0,0.6,1.2
,SPA-La Liga,2015-2016,,,,Betis,Getafe,Home,2,1,0,0,7,4,3,8,1,0,14,5,2,27,,,,W,0.5714285714285714,0.2857142857142857,0.35714285714285715,0.3333333333333333,0.6,10,8,2,0,0.35359109538829203,,,0.5052356020942408,3,1.4,0.8,1.2
,SPA-La Liga,2015-2016,,,,Celta,Levante,Away,2,1,1,0,15,6,6,17,3,0,11,2,4,12,,,,W,0.4,0.13333333333333333,0.18181818181818182,0.5769230769230769,0.6,30,17,1,0,0.35359109538829203,,,0.5052356020942408,3,3.0,2.0,1.0
,SPA-La Liga,2015-2016,,,,Celta,Vallecano,Home,3,0,1,0,11,7,5,7,2,0,3,0,4,11,,,,W,0.6363636363636364,0.2727272727272727,0.0,0.7857142857142857,0.5555555555555556,20,7,2,1,0.35359109538829203,,,0.5052356020942408,3,3.0,2.5,0.5
,SPA-La Liga,2015-2016,,,,Celta,Las Palmas,Home,3,3,2,1,26,12,7,19,0,0,9,5,2,14,,,,D,0.46153846153846156,0.11538461538461539,0.5555555555555556,0.7428571428571429,0.7777777777777778,0,19,1,0,0.35359109538829203,,,0.5052356020942408,1,2.3333333333333335,2.6666666666666665,1.3333333333333333
,SPA-La Liga,2015-2016,,,,Celta,Sevilla,Away,2,1,2,0,15,5,5,16,5,1,13,5,5,16,,,,W,0.3333333333333333,0.13333333333333333,0.38461538461538464,0.5357142857142857,0.5,75,16,0,0,0.35359109538829203,,,0.5052356020942408,3,2.5,2.5,1.25
,SPA-La Liga,2015-2016,,,,Celta,Barcelona,Home,4,1,2,0,18,5,5,19,2,0,18,7,10,4,,,,W,0.2777777777777778,0.2222222222222222,0.3888888888888889,0.5,0.3333333333333333,20,19,2,0,0.35359109538829203,,,0.5052356020942408,3,2.6,2.8,1.2
,SPA-La Liga,2015-2016,,,,Celta,Eibar,Away,1,1,0,1,9,2,4,16,4,0,10,3,4,25,,,,D,0.2222222222222222,0.1111111111111111,0.3,0.47368421052631576,0.5,40,16,1,0,0.35359109538829203,,,0.5052356020942408,1,2.2,2.6,1.2
,SPA-La Liga,2015-2016,,,,Celta,Getafe,Home,0,0,0,0,18,7,9,11,1,0,8,2,1,18,,,,D,0.3888888888888889,0.0,0.25,0.6923076923076923,0.9,10,11,0,1,0.35359109538829203,,,0.5052356020942408,1,1.8,2.0,1.2
,SPA-La Liga,2015-2016,,,,Celta,Villarreal,Away,2,1,1,0,13,2,4,12,3,0,12,3,7,10,,,,W,0.15384615384615385,0.15384615384615385,0.25,0.52,0.36363636363636365,30,12,1,0,0.35359109538829203,,,0.5052356020942408,3,2.2,1.8,0.8
,SPA-La Liga,2015-2016,,,,Celta,Real Madrid,Home,1,3,0,2,17,7,5,17,4,1,14,8,7,16,,,,L,0.4117647058823529,0.058823529411764705,0.5714285714285714,0.5483870967741935,0.4166666666666667,65,17,1,0,0.35359109538829203,,,0.5052356020942408,0,1.6,1.6,1.2
,SPA-La Liga,2015-2016,,,,Celta,Sociedad,Away,3,2,1,2,16,8,7,12,5,0,20,5,8,9,,,,W,0.5,0.1875,0.25,0.4444444444444444,0.4666666666666667,50,12,2,0,0.35359109538829203,,,0.5052356020942408,3,1.6,1.4,1.4
,SPA-La Liga,2015-2016,,,,Celta,Valencia,Home,1,5,1,2,17,3,15,16,1,0,9,5,5,27,,,,L,0.17647058823529413,0.058823529411764705,0.5555555555555556,0.6538461538461539,0.75,10,16,0,0,0.35359109538829203,,,0.5052356020942408,0,1.4,1.4,2.2
,SPA-La Liga,2015-2016,,,,Celta,La Coruna,Away,0,2,0,1,6,4,10,13,3,0,5,2,2,16,,,,L,0.6666666666666666,0.0,0.4,0.5454545454545454,0.8333333333333334,30,13,0,0,0.35359109538829203,,,0.5052356020942408,0,1.2,1.4,2.6
,SPA-La Liga,2015-2016,,,,Celta,Sp Gijon,Home,2,1,1,0,6,4,3,14,3,0,9,2,5,9,,,,W,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.4,0.375,30,14,1,0,0.35359109538829203,,,0.5052356020942408,3,1.2,1.4,2.6
,SPA-La Liga,2015-2016,,,,Celta,Betis,Away,1,1,1,0,5,1,0,16,5,1,27,6,8,9,,,,D,0.2,0.2,0.2222222222222222,0.15625,0.0,75,16,0,0,0.35359109538829203,,,0.5052356020942408,1,1.4,1.4,2.2
